Article#,Title,Publication Date,Time,Author,Summary,URL,Full Article Content
1,Mexican Troops Kill 19 Suspected of Being Cartel Members in Sinaloa Shootout,2024-10-23,20:52:56,By Simon Romero and Emiliano Rodríguez Mega,"The killings in the northwestern state of Sinaloa raise questions on whether Mexico’s new president, Claudia Sheinbaum, is taking a tougher approach to cartels.",https://www.nytimes.com/2024/10/23/world/americas/mexico-sinaloa-cartel-19-killed.html,"The killings in the northwestern state of Sinaloa raise questions on whether Mexico’s new president, Claudia Sheinbaum, is taking a tougher approach to cartels.
Mexican soldiers killed 19 suspected cartel members and arrested a local cartel leader following a shootout on Monday in northwest Mexico, a region that has been shaken by an eruption of bloodshed between two rival factions of the powerful Sinaloa Cartel.
The arrest and the killings in Culiacán, the capital of Sinaloa State, took place after soldiers repelled an attack by a group of more than 30 armed men, Mexico’s defense ministry said on Tuesday night. The suspected cartel operatives who were not killed managed to flee, the defense ministry said, while the army suffered no casualties.
The killings reflect how the escalating violence in Sinaloa is quickly shaping into a test for Mexico’s new president, Claudia Sheinbaum, who took office this month vowing to continue the strategy of her predecessor in attempting to avoid armed confrontations with criminal groups in a bid to limit mass casualties.
But the death toll from Monday’s shootout could point to a pivot from the approach of the previous president, Andrés Manuel López Obrador, security analysts said. The episode is one of the bloodiest of its kind since soldiers killed 22 a decade ago, in an episode in which the military was exposed for having executed people who had surrendered.
"
2,Mexico’s Ex-Security Chief Sentenced to 38 Years for Cartel Bribery,2024-10-16,22:35:18,By Alan Feuer,"The stiff penalty was the potentially final step in the stunning downfall of the former official, Genaro García Luna, who has gone from the heights of power to imprisonment.",https://www.nytimes.com/2024/10/16/world/americas/genaro-garcia-luna-sentencing.html,"The stiff penalty was the potentially final step in the stunning downfall of the former official, Genaro García Luna, who has gone from the heights of power to imprisonment.
Genaro García Luna, who once served as Mexico’s top law enforcement official, was sentenced on Wednesday to just over 38 years in prison following his conviction in New York last year on charges of taking bribes from the very drug cartels he was meant to be pursuing.
The stiff penalty of 460 months, handed down at a hearing in Federal District Court in Brooklyn, was the next and potentially final step in Mr. García Luna’s stunning downfall — one that saw him plummet from the heights of power as the architect of his country’s war on criminal mafias to a criminal himself who will now likely spend the rest of his life in an American federal prison.
During the hourlong hearing, Judge Brian M. Cogan, who oversaw Mr. García Luna’s monthlong corruption trial, scolded Mr. García Luna, 56, from the bench, saying that he had led a double life and that his career as Mexico’s top lawman was “a smoke screen” that allowed him to do harm to countless numbers of his countrymen.
Judge Cogan also compared Mr. García Luna, who served directly under two different Mexican presidents, to Joaquín Guzmán Loera, the notorious drug lord known as El Chapo, who was tried and convicted in the same courthouse five years ago and is now serving a life sentence.
"
3,A Cartel Double-Cross Turns a Mexican State Into a War Zone,2024-10-08,9:04:46,"By Natalie Kitroeff, Paulina Villegas and Meridith Kohut","An explosive deception has ripped apart one of Mexico’s most powerful criminal groups, the Sinaloa cartel, and ignited a war between the rival factions.",https://www.nytimes.com/2024/10/08/world/americas/mexico-sinaloa-cartel-war.html,"Bodies dumped on the side of the road. Gun battles in upscale neighborhoods. Tractor-trailers set aflame on the highway. People plucked from their cars by armed men in broad daylight.
This is what it looks like when war breaks out within one of the most powerful criminal mafias in the world, the Sinaloa Cartel, pitting two rival factions against each other in a bloody struggle to control a multibillion-dollar narco empire.
The past few years had been relatively peaceful in Sinaloa state, in northwest Mexico, where the dominance of a single, cohesive criminal organization kept turf wars to a minimum, and official homicide rates were lower than in many major U.S. cities.
Then, in late July, came an unthinkable betrayal: Ismael “El Mayo” Zambada García, a godfather of the cartel, was tricked by the son of his former ally, abducted, forced onto a flight to the United States and arrested by American agents, according to U.S. officials.
Mr. Zambada described the treachery in a letter released by his lawyer, in which the drug lord said that on the day he was arrested, he’d been lured to a supposedly friendly meeting and then “ambushed” and “kidnapped” by one of the sons of his fellow cartel co-founder, Joaquín Guzmán Loera, known as El Chapo.
"
4,"In Mexico, a Mayor Is Brutally Killed Just Days After Taking Office",2024-10-07,18:04:52,By Emiliano Rodríguez Mega,"The gruesome killing represents yet another challenge for the country’s new president, who faces increasing pressure to show progress in the fight against violent cartels.",https://www.nytimes.com/2024/10/07/world/americas/mexico-mayor-murder.html,"The gruesome killing represents yet another challenge for the country’s new president, who faces increasing pressure to show progress in the fight against violent cartels.
The mayor of a state capital in southwestern Mexico was killed on Sunday, less than a week after he took office. The public official’s death was the second in days in Chilpancingo, the capital of Guerrero state, and echoed some of the most gruesome days of the country’s drug war.
Alejandro Arcos Catalán, 43, was sworn in last Monday as mayor of Chilpancingo. Just before he took office, the region was drenched by heavy rains and battered by the winds of Hurricane John.
On Sunday, Mr. Arcos Catalán visited some affected communities, bringing water and other supplies to residents. “We are working nonstop to reopen the roads to the communities affected,” he said on social media. “Together we will rebuild Chilpancingo.”
Hours later, his assassination was confirmed by the attorney general’s office in Guerrero and other state authorities. He had been beheaded, according to a public official with knowledge of the case who was not authorized to speak publicly. His head was left on top of a white pickup-up truck; the rest of his body was inside the vehicle, the official said.
No one has claimed responsibility for Mr. Arcos Catalán’s murder.
"
5,Mexican Military Fatally Shoots Six Migrants,2024-10-03,2:49:49,By Emiliano Rodríguez Mega and James Wagner,The country’s defense ministry said the military officers who opened fire might have mistaken the migrants for cartel members.,https://www.nytimes.com/2024/10/02/world/americas/mexico-fatal-shooting-migrants.html,"The country’s defense ministry said the military officers who opened fire might have mistaken the migrants for cartel members.
At least six migrants were killed in southern Mexico on Tuesday night after military officers shot at the vehicle they were traveling in. The episode called attention to a growing concern in Mexico — ever more powerful armed forces that operate with little oversight — and a continuing one, the dangers faced by migrants in the country.
Mexico’s defense ministry said in a statement on Wednesday that the officers were doing “ground reconnaissance” in the state of Chiapas when they spotted a pickup truck traveling fast, and that the truck’s driver tried to evade the soldiers. Behind the pickup truck were two vehicles that the military said were similar to those organized crime groups in the region use: stakebed trucks, small flatbeds with fencing in the cargo area.
The officers may have mistaken the migrants for cartel members, according to the ministry defense ministry.
The military said the officers “heard explosions,” so two of them opened fire, bringing one of the trucks to a stop. It was carrying a group of 33 migrants from around the world. Four people died at the scene and two at a hospital, officials said. Ten others were injured. The rest were handed over to Mexican immigration officials.
"
6,Mexico’s President and Trump Describe a Positive Talk but Differ on Migration Details,2024-11-28,0:37:13,By Simon Romero,The discussion between President Claudia Sheinbaum of Mexico and the president-elect came after Mr. Trump threatened tariffs unless Mexican authorities stopped migrants and drugs from coming across the border.,https://www.nytimes.com/2024/11/27/us/politics/mexico-trump-tariff-tensions.html,"The discussion between President Claudia Sheinbaum of Mexico and the president-elect came after Mr. Trump threatened tariffs unless Mexican authorities stopped migrants and drugs from coming across the border.
Mexico’s president, Claudia Sheinbaum, spoke to President-elect Donald J. Trump on Wednesday afternoon, and both later characterized their discussion as positive while providing different descriptions of what Mexico is doing to stave off a potential tariff war.
While Mr. Trump posted on social media that Mexico had agreed to stop migration to the United States through Mexico, “effectively closing our Southern Border,” Ms. Sheinbaum limited her description of the migration-related issues they had discussed to migrant caravans no longer reaching the border with the United States.
Still, Ms. Sheinbaum, who earlier in the day had made clear that Mexico would impose retaliatory tariffs in response to similar measures threatened by Mr. Trump, seemed to ease tensions by saying the exchange was “excellent.”
"
7,Trump’s Tariff Threat Pits Canada Against Mexico,2024-11-26,23:02:20,By Matina Stevis-Gridneff and Simon Romero,The president-elect’s opening salvo in trade and border talks with the United States’ neighbors is casting a harsh light on the North American alliance.,https://www.nytimes.com/2024/11/26/world/mexico-canada-trump-tariffs.html,"The president-elect’s opening salvo in trade and border talks with the United States’ neighbors is casting a harsh light on the North American alliance.
If President-elect Donald J. Trump’s threat of hefty tariffs on Canada and Mexico was intended as a divide-and-conquer strategy, early signs show that it might be working.
After his missive on Monday, in which he said he planned to impose a 25 percent tariff on all imports from both of the United States’ neighbors, Ottawa and Mexico City followed starkly different approaches.
Mexico took a tough stance, threatening to retaliate with its own tariffs on U.S. goods. Canada, instead, emphasized that it was much closer aligned to the United States than Mexico.
The trade agreement between the three North American nations has been carefully maintained over the past three decades through a delicate balance between the United States and its two key allies.
As Mr. Trump prepares to take office, his willingness to tear that up to pressure the two countries on migration could open the door to the United States-Mexico-Canada agreement being replaced by separate bilateral deals with the United States.
"
8,Mexican Authorities Seize 20 Million Doses of Fentanyl in Record Haul,2024-12-04,21:58:05,By James Wagner and Emiliano Rodríguez Mega,The operation comes after President-elect Donald J. Trump threatened tariffs on Mexico if the country did not crack down on fentanyl.,https://www.nytimes.com/2024/12/04/world/americas/mexico-fentanyl-seizure.html,"The operation comes after President-elect Donald J. Trump threatened tariffs on Mexico if the country did not crack down on fentanyl.
Mexican security forces captured more than a ton of fentanyl this week, marking the country’s largest synthetic opioid seizure, which officials on Wednesday said was equivalent to 20 million doses of the drug.
It was the latest show of force in a crackdown on violence and illicit drugs by Mexico’s new president, Claudia Sheinbaum, ahead of the inauguration next month of President-elect Donald J. Trump.
Mr. Trump has vowed to place steep tariffs on Mexico until the government stops drugs and migrants from crossing the border.
Mexican authorities said officers confiscated 800 kilograms of fentanyl in a truck at a house in Sinaloa state, home of the powerful Sinaloa Cartel and a hub of fentanyl production, on Tuesday. Officials also seized chemical precursors used to make the synthetic drug, and another 300 kilos in a separate house, in addition to industrial mixers and scales.
"
9,Mexico’s Sheinbaum Questions Whether U.S. Tariffs Will Really Be Imposed,2025-01-29,18:55:15,By James Wagner,"“We don’t think it’s going to happen really,” she said during her daily morning news conference on Wednesday, just days before Trump’s threatened tariffs might begin. “And if it happens, we also have our plan.”",https://www.nytimes.com/2025/01/29/us/politics/mexico-president-sheinbaum-trump-tariffs.html,"“We don’t think it’s going to happen really,” she said during her daily morning news conference on Wednesday, just days before Trump’s threatened tariffs might begin. “And if it happens, we also have our plan.”
President Claudia Sheinbaum of Mexico said on Wednesday that she did not expect the United States to impose tariffs this weekend, despite the Trump administration’s affirmation a day earlier that the tariff plan was still under consideration for enforcement as of Feb. 1.
“We don’t think it’s going to happen really,” she said during her daily morning news conference. “And if it happens, we also have our plan.”
Ms. Sheinbaum declined to detail the plan, but she has previously said that her country is prepared to respond with retaliatory tariffs of its own. Through Mexico’s Foreign Ministry, she said officials were still in talks with the Trump administration.
"
10,‘The Gulf of America’? Here’s What Mexicans and Cubans Think.,2025-01-28,10:01:58,By James Wagner,"Following President Trump’s order renaming the Gulf of Mexico, at least in the United States, Mexicans and Cubans expressed annoyance, defiance, confusion and even amusement.",https://www.nytimes.com/2025/01/28/world/americas/gulf-mexico-name-change.html,"Francisco Javier Remes Sánchez was puzzled as he watched President Trump sign an executive order last week renaming the Gulf of Mexico to the Gulf of America as part of his pledge to honor “American greatness.”
“That man talks a lot and we have no choice but to defend Mexico,” said Mr. Remes Sánchez, 52, who manages a 15,000-member fishing association in Tamaulipas state in northeastern Mexico. He has fished in the gulf for 20 years and estimated that he spends 2,000 hours a year on its waters.
“He’s changing the name of a cultural and natural heritage of Mexico since the 16th century, when the United States hadn’t even been formed,” he added.
To be clear: Mr. Trump’s order renaming the world’s largest gulf only changed the name in the United States, where he has authority, not internationally. He asked the Secretary of the Interior to remove all mentions of the Gulf of Mexico in the government’s official geographic database and ensure that “all federal references,” including maps, contracts and other documents, reflected the new name.
"
